,num_matches,ratio,ratio_2016-2019,num_matches_2020-2021,ratio_2020-2021,birth,ht,minutes,perc_ace,_1stwon_1stIn,perc_df,perc_2ndwon,perc_v_ace,perc_v_df,perc_v_1stwon,rank,hand_num,gender_num,ioc_num
1875,18,38.88888888888889,37.5,2.0,50.0,1995.0,191.1428571428572,84.56493506493507,8.27,71.27371273712737,9.35,48.24,17.84,10.36,73.67,1095.0,1,1,68
1876,54,61.11111111111112,61.11111111111112,0.0,0.0,1990.0,173.33333333333334,61.14285714285714,0.68,14.904623343032656,4.04,15.8,2.02,4.67,30.97,268.0,1,0,77
1877,13,23.07692307692308,20.0,3.0,33.33333333333333,2001.0,188.57142857142856,97.78333333333332,8.0,66.95652173913044,5.91,47.75,18.62,11.35,75.89,935.0,2,1,14
1878,101,55.44554455445545,54.44444444444444,11.0,63.63636363636363,1991.0,186.96153846153845,101.47162698412698,6.93,68.26540755467197,5.96,50.4,11.66,6.5,67.73,451.0,1,1,29
1879,74,41.891891891891895,41.891891891891895,0.0,0.0,1990.0,185.6747825006256,96.98724681170292,11.25,70.00459448536174,11.6,44.23,13.18,7.72,71.56,464.0,1,1,94
1880,64,43.75,43.54838709677419,2.0,50.0,1987.0,176.28571428571428,89.11309523809524,11.71,69.31200751399936,5.35,49.94,11.33,6.57,68.68,443.0,2,1,43
1881,192,57.29166666666666,51.28205128205128,75.0,66.66666666666666,1996.0,190.25,98.8160753880266,10.17,69.97016197783461,6.01,50.81,11.28,6.67,70.08,211.0,1,1,58
1882,77,41.55844155844156,40.78947368421053,1.0,100.0,1997.0,172.13786827469158,59.53125,4.55,15.458937198067632,0.91,10.88,1.69,3.38,21.68,963.0,2,0,83
1883,275,56.00000000000001,58.53658536585365,29.0,34.48275862068966,1995.0,176.5,76.56818181818181,2.26,54.39938791124713,10.15,46.41,3.51,6.78,51.83,164.0,1,0,32
1884,306,66.01307189542483,69.10569105691057,60.0,53.333333333333336,1997.0,168.0,80.40027608530085,2.09,54.59780082844517,5.95,42.1,3.56,7.59,49.86,139.0,1,0,77
1885,111,58.55855855855856,58.57142857142858,41.0,58.53658536585365,1991.0,165.0,72.08745819397993,4.85,57.52036558712498,7.43,45.31,3.17,5.77,36.22,509.0,1,0,4
1886,80,43.75,43.75,0.0,0.0,1990.0,170.85714285714286,62.48888888888889,4.1,26.096599152106588,5.12,30.93,4.09,6.27,41.89,413.0,1,0,3
1887,204,45.588235294117645,46.89265536723164,27.0,37.03703703703704,1992.0,177.71428571428572,68.86297587910491,4.48,61.653515286858685,15.94,50.05,4.14,7.71,47.49,360.0,1,0,30
1888,74,72.97297297297297,0.0,74.0,72.97297297297297,2002.0,180.0,61.06481481481481,4.38,62.91095890410959,6.92,41.98,1.4,5.65,28.37,917.0,2,0,18
1889,340,53.8235294117647,52.851711026615966,77.0,57.14285714285714,1993.0,176.28571428571428,104.42414117155684,6.34,67.3181530676787,6.08,50.05,12.1,6.06,69.34,104.0,1,1,43
1890,273,49.81684981684982,50.588235294117645,18.0,38.88888888888889,1987.0,176.5,81.02238085015028,9.42,60.76077924476041,6.22,46.07,3.67,7.94,61.19,85.0,1,0,32
