,name,num_matches,ratio,ratio_2016-2019,num_matches_2020-2021,ratio_2020-2021,hand,gender,ioc,birth,ht,minutes,perc_ace,_1stwon_1stIn,perc_df,perc_2ndwon,perc_v_ace,perc_v_df,perc_v_1stwon
2116,LENA RUEFFER,154,55.1948051948052,44.11764705882353,52.0,76.92307692307693,U,F,GER,1998.0,176.5,62.04228473998295,7.06,51.86869404575813,7.82,46.28,2.31,4.95,32.03
2120,LENNERT VAN DER LINDEN,11,54.54545454545454,54.54545454545454,0.0,0.0,R,M,NED,1989.0,190.25,83.26666666666667,3.57,65.40178571428571,5.36,46.77,8.19,5.31,63.5
2121,LENNY HAMPEL,58,56.896551724137936,57.14285714285714,2.0,50.0,U,M,AUT,1997.0,185.2,98.75818181818181,10.54,70.29449423815622,8.28,49.33,6.26,6.18,68.27
2123,LEONARDO MAYER,235,50.212765957446805,53.0,35.0,34.285714285714285,R,M,ARG,1987.0,188.0,112.06044473417354,12.75,73.65797765394805,8.03,52.24,8.58,5.35,71.41
2124,LEONIE KUNG,250,56.8,59.63855421686747,84.0,51.19047619047619,R,F,SUI,2000.0,176.0,67.69144496609286,2.61,56.268080920603495,5.65,42.99,2.18,5.97,36.4
2126,LESIA TSURENKO,220,54.54545454545454,53.93258426966292,42.0,57.14285714285714,R,F,UKR,1989.0,174.0,91.10666666666667,3.02,60.129061907295686,9.54,44.1,4.05,7.56,59.11
2127,LESLEY KERKHOVE,309,55.663430420711975,58.09128630705395,68.0,47.05882352941176,R,F,NED,1991.0,177.25,71.71745034798846,3.92,59.78115481015986,8.95,42.38,4.99,7.3,50.55
2130,LEYLAH ANNIE FERNANDEZ,128,59.375,59.09090909090909,62.0,59.67741935483871,L,F,CAN,2002.0,168.0,81.61285425101215,4.03,61.601620474969344,11.42,51.37,4.46,8.01,55.77
2133,LIAM BROADY,296,54.054054054054056,51.61290322580645,79.0,60.75949367088608,L,M,GBR,1994.0,183.42857142857144,96.17334558823529,8.38,67.04885708025998,4.72,50.83,11.17,7.3,68.39
2134,LIAM CARUANA,66,50.0,47.05882352941176,15.0,60.0,R,M,USA,1998.0,187.53125,80.48484848484848,11.83,70.95370003957262,5.07,49.28,16.18,7.13,71.76
2135,LIAM DRAXL,17,29.411764705882355,36.36363636363637,6.0,16.666666666666664,R,M,CAN,2002.0,188.57142857142856,100.13333333333333,5.79,65.99763872491145,7.32,49.62,9.12,6.17,73.0
2138,LIDZIYA MAROZAVA,36,41.66666666666667,45.16129032258064,5.0,20.0,R,F,BLR,1992.0,177.25,65.07142857142857,0.35,61.915683175359035,12.05,42.55,2.55,7.43,41.4
2144,LIN ZHU,299,58.19397993311036,60.37735849056604,34.0,41.17647058823529,R,F,CHN,1994.0,174.8,78.53273563218391,3.42,59.20275361943488,5.69,46.07,4.23,7.72,53.81
2146,LINA GJORCHESKA,229,62.44541484716157,62.5,53.0,62.264150943396224,U,F,MKD,1994.0,172.13786827469158,61.53858350951374,8.09,56.93612927739152,3.52,69.6,2.15,6.21,39.07
2147,LINA GLUSHKO,139,58.27338129496403,57.608695652173914,47.0,59.57446808510638,U,F,ISR,2000.0,170.0,60.94316730523627,3.61,51.37750081994097,3.28,44.63,0.83,2.89,17.89
