,name,num_matches,ratio,ratio_2016-2019,num_matches_2020-2021,ratio_2020-2021,hand,gender,ioc,birth,ht,minutes,perc_ace,_1stwon_1stIn,perc_df,perc_2ndwon,perc_v_ace,perc_v_df,perc_v_1stwon
956,DENISA ALLERTOVA,152,53.289473684210535,54.054054054054056,4.0,25.0,R,F,CZE,1993.0,175.78571428571428,73.05233872370022,4.34,61.8056452530491,10.6,45.71,6.86,9.31,59.31
957,DENISA HINDOVA,117,47.863247863247864,47.540983606557376,56.0,48.214285714285715,U,F,CZE,2002.0,175.78571428571428,60.049180327868854,2.37,18.97725063192689,7.12,13.38,1.01,1.91,13.51
960,DENIZ KHAZANIUK,196,55.61224489795919,55.497382198952884,5.0,60.0,U,F,ISR,1994.0,170.0,69.26326057154908,1.39,57.67091203226657,4.34,35.01,3.39,6.1,42.6
962,DENNIS NEVOLO,43,53.48837209302325,53.48837209302325,0.0,0.0,R,M,USA,1990.0,187.53125,90.20869565217392,6.38,69.18117343649259,8.51,51.37,10.65,9.07,67.7
963,DENNIS NOVAK,238,52.94117647058824,55.0561797752809,60.0,46.666666666666664,R,M,AUT,1993.0,185.2,92.22073412698413,9.35,68.88879471003688,6.06,49.94,11.57,7.26,70.92
964,DENNIS NOVIKOV,204,44.11764705882353,44.89795918367347,8.0,25.0,R,M,USA,1993.0,187.53125,85.3280701754386,18.03,72.18660439819148,8.3,50.2,15.36,7.46,72.93
965,DENYS MOLCHANOV,80,50.0,50.0,0.0,0.0,R,M,UKR,1987.0,185.25,75.85,11.87,68.91534391534393,7.04,49.12,8.52,7.03,68.37
966,DERIA NUR HALIZA,25,44.0,44.0,0.0,0.0,R,F,INA,1997.0,172.13786827469158,62.60064935064935,0.0,59.4116219647002,2.55,48.59,1.72,4.4,20.52
967,DESIRAE KRAWCZYK,14,50.0,45.45454545454545,3.0,66.66666666666666,L,F,USA,1994.0,170.0,63.71428571428572,2.5,53.666666666666664,3.5,23.08,2.24,5.34,28.97
968,DESPINA PAPAMICHAIL,340,60.882352941176464,63.503649635036496,66.0,50.0,R,F,GRE,1993.0,177.0,62.14361991936363,2.71,65.08944073719441,4.45,52.45,1.72,4.69,32.11
969,DESTANEE AIAVA,193,56.994818652849744,58.75,33.0,48.484848484848484,R,F,AUS,2000.0,170.85714285714286,67.74846659364732,5.83,56.10827895380615,7.73,51.22,4.33,7.35,50.38
971,DEWI DIJKMAN,44,27.27272727272727,27.906976744186046,1.0,0.0,U,F,NED,1998.0,177.25,59.96875,4.7,20.352250489236788,15.66,26.53,0.24,1.05,4.81
973,DI WU,197,45.17766497461929,44.559585492227974,4.0,75.0,R,M,CHN,1991.0,183.66666666666663,83.51544943820224,6.57,65.61653950283042,5.67,49.91,12.64,6.64,68.55
981,DIANA MARCINKEVICA,309,49.51456310679612,51.737451737451735,50.0,38.0,R,F,LAT,1992.0,173.0,62.87726244343891,6.73,54.131787937325605,11.13,51.82,3.01,5.85,42.66
982,DIANA MARIA MIHAIL,79,15.18987341772152,18.867924528301888,26.0,7.6923076923076925,R,F,ROU,2000.0,173.71428571428572,59.85820895522388,0.0,8.286951144094001,16.57,16.49,0.47,1.05,8.05
985,DIANA SUMOVA,89,55.0561797752809,55.0561797752809,0.0,0.0,U,F,CZE,1994.0,175.78571428571428,60.175,1.01,20.87976999357189,3.03,17.2,1.52,2.64,15.35
986,DIANE PARRY,121,53.71900826446281,48.78048780487805,80.0,56.25,R,F,FRA,2002.0,173.36363636363637,64.67156593406594,7.76,66.35213236743196,6.31,59.31,3.43,6.88,50.75
987,DIEGO HIDALGO,36,30.555555555555557,36.84210526315789,17.0,23.52941176470588,U,M,ECU,1993.0,193.0,98.70727272727272,8.89,65.91600730371272,5.17,47.27,9.4,5.89,69.84
988,DIEGO SCHWARTZMAN,330,59.3939393939394,58.964143426294825,79.0,60.75949367088608,R,M,ARG,1992.0,170.0,110.36072190070058,4.46,66.29601708757382,5.81,50.33,11.35,6.59,65.55
991,DIMITAR KUZMANOV,166,54.21686746987952,53.333333333333336,61.0,55.73770491803278,R,M,BUL,1993.0,188.0,102.66535087719299,4.71,65.89100362190813,6.03,50.7,7.65,6.14,63.95
992,DIMITRA PAVLOU,18,11.11111111111111,0.0,11.0,18.181818181818183,R,F,GRE,2004.0,177.0,59.71875,0.0,31.773049645390074,18.16,14.81,1.0,3.84,19.49
994,DINO MARCAN,27,48.148148148148145,48.148148148148145,0.0,0.0,R,M,CRO,1991.0,194.0,80.62362637362638,3.24,66.03603603603604,8.83,49.2,8.61,6.36,67.45
996,DMITRY POPKO,242,51.652892561983464,51.74825174825175,99.0,51.515151515151516,R,M,KAZ,1996.0,188.4,100.41671794871795,8.08,66.8968824940048,6.32,49.69,8.72,6.31,67.62
997,DMITRY SURCHENKO,17,23.52941176470588,23.52941176470588,0.0,0.0,U,M,RUS,1990.0,187.26666666666668,89.64423076923077,6.67,63.33333333333333,20.7,37.71,8.39,10.4,72.99
998,DMITRY TURSUNOV,29,37.93103448275862,37.93103448275862,0.0,0.0,R,M,RUS,1983.0,185.0,88.99747474747474,7.8,66.89314496234934,6.55,50.0,22.35,8.22,73.29
1003,DOMINIC STEPHAN STRICKER,18,61.111111111111114,0.0,18.0,61.111111111111114,U,M,SUI,2003.0,182.83333333333331,99.87012987012987,22.71,78.50241545893721,5.19,50.17,14.3,4.8,73.47
1004,DOMINIC THIEM,352,69.31818181818183,70.0,52.0,65.38461538461539,R,M,AUT,1993.0,185.0,112.97525804493017,12.23,74.32868502938804,5.81,53.33,9.89,5.06,69.16
1005,DOMINIK KELLOVSKY,26,26.923076923076923,26.923076923076923,0.0,0.0,U,M,CZE,1996.0,190.375,91.5639097744361,11.12,68.74400767018217,11.79,41.64,8.94,7.06,72.62
1006,DOMINIK KOEPFER,257,55.252918287937746,55.91397849462365,71.0,53.52112676056338,L,M,GER,1994.0,180.0,99.46282914880588,8.47,68.28569088377427,7.96,50.49,9.66,6.24,67.8
1007,DOMINIKA CIBULKOVA,185,61.62162162162163,61.62162162162163,0.0,0.0,R,F,SVK,1989.0,161.0,107.47238695329875,1.96,62.14782896917468,6.81,47.64,10.4,8.98,62.65
1009,DOMINIQUE SCHAEFER,72,52.77777777777778,52.17391304347826,3.0,66.66666666666666,R,F,PER,1999.0,172.13786827469158,59.934210526315795,4.75,20.772176132737716,1.28,25.09,1.73,5.19,28.02
1010,DONA ABO HABAGA,12,58.333333333333336,58.333333333333336,0.0,0.0,U,F,EGY,1996.0,180.0,63.94285714285715,1.46,58.004158004158,26.82,41.22,0.2,3.67,13.24
1011,DONALD YOUNG,218,47.706422018348626,49.23076923076923,23.0,34.78260869565217,L,M,USA,1989.0,183.0,94.46786437246963,7.71,68.22391438567607,10.92,49.13,13.51,7.97,71.05
1012,DONNA VEKIC,288,54.861111111111114,56.2753036437247,41.0,46.34146341463415,R,F,CRO,1996.0,179.0,91.97108081791626,8.24,64.45459268221383,12.27,46.15,7.04,8.33,62.65
1015,DORKA DRAHOTA SZABO,90,57.77777777777777,54.54545454545454,46.0,60.86956521739131,R,F,HUN,2002.0,175.5,61.09210526315789,0.99,31.324387501358625,8.95,32.74,1.37,3.27,18.34
1018,DOSTANBEK TASHBULATOV,16,6.25,11.11111111111111,7.0,0.0,U,M,KAZ,2000.0,188.4,63.2,2.97,52.60223048327137,9.11,42.46,7.34,7.53,71.24
1019,DRAGINJA VUKOVIC,115,46.95652173913044,49.504950495049506,14.0,28.57142857142857,R,F,SRB,2000.0,176.25,60.15573770491803,0.02,16.31056848531095,2.35,12.69,0.92,2.75,14.68
1020,DRAGOS CONSTANTIN IGNAT,11,45.45454545454545,45.45454545454545,0.0,0.0,R,M,ROU,1993.0,186.8,92.76666666666667,6.17,63.58381502890174,8.67,43.45,8.6,5.66,67.19
1021,DRAGOS DIMA,64,43.75,44.44444444444444,1.0,0.0,R,M,ROU,1992.0,186.8,98.83531746031746,2.82,62.72425249169436,4.29,44.57,6.3,6.61,64.97
1022,DUCK HEE LEE,236,47.88135593220339,48.888888888888886,11.0,27.27272727272727,R,M,KOR,1998.0,185.0,91.97140082020289,7.14,66.4882335117665,7.59,49.35,12.25,7.54,68.79
1023,DUDI SELA,208,56.25,57.99999999999999,8.0,12.5,R,M,ISR,1985.0,175.0,89.92307692307692,5.47,67.56546826453618,6.56,51.07,9.56,6.94,66.95
1024,DUJE AJDUKOVIC,54,59.25925925925925,0.0,54.0,59.25925925925925,R,M,CRO,2001.0,194.0,105.48863636363637,7.91,66.98425849212924,5.8,49.02,5.36,5.81,64.23
1026,DUSAN LAJOVIC,313,49.84025559105431,51.40562248995983,64.0,43.75,R,M,SRB,1990.0,180.0,102.40858239425118,6.63,68.11822421416026,3.04,53.31,10.39,5.86,70.89
1027,DUSTIN BROWN,228,51.31578947368421,53.431372549019606,24.0,33.33333333333333,R,M,GER,1984.0,196.0,82.31208131208132,15.96,73.05711264008411,10.06,49.18,12.0,6.2,71.73
1029,DZMITRY ZHYRMONT,61,44.26229508196721,44.26229508196721,0.0,0.0,U,M,BLR,1989.0,194.5,93.56318082788671,10.6,69.22242314647377,6.29,49.34,11.75,7.4,69.72
1032,EDAN LESHEM,117,45.2991452991453,43.87755102040816,19.0,52.63157894736842,U,M,ISR,1997.0,181.5,88.97951061320754,10.25,69.82302918869226,9.49,49.03,11.76,6.79,70.11
1034,EDEN SILVA,170,50.0,50.0,22.0,50.0,R,F,GBR,1996.0,177.71428571428572,63.58235294117647,1.28,59.142759499550834,3.58,48.85,3.42,5.08,35.6
1035,EDOARDO EREMIN,79,51.89873417721519,52.56410256410257,1.0,0.0,R,M,ITA,1993.0,185.7058823529412,100.74293966623877,15.73,72.99807815502882,8.94,51.47,5.73,6.16,66.97
1036,EDOUARD ROGER VASSELIN,29,48.275862068965516,48.275862068965516,0.0,0.0,R,M,FRA,1984.0,188.0,91.6047619047619,9.69,67.6167861628824,3.18,48.92,14.17,5.2,70.63
1037,EDUARD ESTEVE LOBATO,22,40.909090909090914,12.5,14.0,57.14285714285714,R,M,ESP,1995.0,182.65217391304347,102.39316239316238,3.41,64.75170399221032,3.8,47.97,6.02,6.44,68.02
1039,EDUARDO DISCHINGER,16,37.5,37.5,0.0,0.0,R,M,BRA,1992.0,184.53846153846155,101.25,6.29,65.80645161290323,10.16,43.86,6.61,11.89,65.2
1040,EDUARDO STRUVAY,50,38.0,38.775510204081634,1.0,0.0,R,M,COL,1991.0,188.0,87.90577249575551,18.57,74.18285172903836,8.67,47.51,9.01,7.05,72.52
1041,EDWARD BOURCHIER,13,53.84615384615385,53.84615384615385,0.0,0.0,R,M,AUS,1988.0,187.07692307692307,83.16666666666666,5.63,64.11892615239448,4.93,54.84,7.5,6.19,69.23
1042,EDWARD CORRIE,97,49.48453608247423,49.48453608247423,0.0,0.0,U,M,GBR,1988.0,183.42857142857144,90.69876700680273,11.52,70.29377203290247,5.12,52.49,11.98,8.1,71.61
1044,EGOR GERASIMOV,270,56.666666666666664,60.396039603960396,68.0,45.588235294117645,R,M,BLR,1992.0,196.0,94.95198592257415,16.57,73.28621971887004,6.65,49.96,11.61,6.14,71.22
1046,EKATERINA ALEXANDROVA,314,60.19108280254777,60.65573770491803,70.0,58.57142857142858,R,F,RUS,1994.0,175.0,81.44283597883597,11.94,62.284390078265275,11.68,43.78,5.64,7.8,57.46
1047,EKATERINA BYCHKOVA,14,21.428571428571427,0.0,13.0,23.076923076923077,R,F,RUS,1985.0,171.0,60.09090909090909,4.1,34.88805970149254,8.21,21.36,0.54,2.17,10.83
1050,EKATERINA MAKAROVA,200,53.0,50.70422535211267,58.0,58.620689655172406,L,F,RUS,1988.0,178.0,85.65194700923324,5.91,66.12277498858968,6.75,46.38,5.95,6.86,53.44
1056,EKATERINA SHALIMOVA,114,55.26315789473685,55.55555555555556,60.0,55.00000000000001,U,F,RUS,2000.0,165.3125,60.33333333333333,3.22,18.256475047378395,7.52,24.61,1.18,2.54,18.72
1057,EKATERINA VISHNEVSKAYA,122,51.63934426229508,58.139534883720934,36.0,36.11111111111111,R,F,RUS,1999.0,165.3125,59.86440677966102,0.0,12.56433007985803,7.33,5.65,0.97,3.14,15.9
1058,EKATERINA YASHINA,231,46.320346320346324,40.37267080745342,70.0,60.0,R,F,RUS,1993.0,165.3125,60.447580645161295,0.02,20.79042855741885,2.48,4.8,2.01,4.09,25.98
1059,EKATERINE GORGODZE,305,58.36065573770492,59.401709401709404,71.0,54.929577464788736,L,F,GEO,1991.0,171.0,67.84627974873928,2.21,57.6691035861166,5.0,33.6,2.84,5.96,43.27
1062,ELEANA YU,36,55.55555555555556,66.66666666666666,18.0,44.44444444444444,R,F,USA,2004.0,173.1818181818182,61.53125,3.68,34.38219493476593,8.6,32.17,1.77,3.18,19.86
1064,ELENA BOVINA,21,42.857142857142854,42.857142857142854,0.0,0.0,R,F,RUS,1983.0,189.0,61.25,0.0,32.648945432684506,4.75,24.31,4.56,8.37,44.23
1066,ELENA GABRIELA RUSE,262,64.8854961832061,64.46700507614213,65.0,66.15384615384615,U,F,ROU,1997.0,173.71428571428572,72.34156010230178,4.69,57.97955382390223,10.28,47.02,3.12,7.57,49.06
1071,ELENA MALYGINA,170,57.647058823529406,58.69565217391305,78.0,56.41025641025641,U,F,EST,2000.0,177.5,60.54152494331066,1.4,57.5604979717443,7.12,53.08,1.14,2.93,16.33
1072,ELENA MILOVANOVIC,68,45.588235294117645,53.65853658536586,27.0,33.33333333333333,R,F,SRB,2001.0,176.25,60.067567567567565,2.73,23.210332103321033,4.1,19.5,0.26,1.03,7.11
1073,ELENA RYBAKINA,255,66.66666666666666,67.2514619883041,84.0,65.47619047619048,R,F,KAZ,1999.0,184.0,80.54117647058823,9.7,62.65426546765861,7.39,49.2,4.01,7.35,53.84
1075,ELENA VESNINA,140,55.714285714285715,56.48854961832062,9.0,44.44444444444444,R,F,RUS,1986.0,176.0,93.35318444995863,5.76,62.87921913352612,7.82,47.65,8.59,8.56,62.48
1081,ELEONORA MOLINARO,189,68.78306878306879,69.0909090909091,24.0,66.66666666666666,U,F,LUX,2000.0,180.0,62.39993481095176,5.2,58.54990271547891,5.87,45.13,1.86,4.12,28.37
1084,ELIAS YMER,315,55.23809523809524,55.24193548387096,67.0,55.223880597014926,R,M,SWE,1996.0,185.33333333333331,102.61689899730985,8.63,68.4620416134071,6.91,49.74,6.86,6.6,66.93
1088,ELINA SVITOLINA,332,69.87951807228916,70.35573122529645,79.0,68.35443037974683,R,F,UKR,1994.0,174.0,97.74129310344827,7.22,66.05456572278975,6.15,47.28,5.46,7.86,61.35
1093,ELISABETTA COCCIARETTO,135,65.18518518518519,67.53246753246754,58.0,62.06896551724138,R,F,ITA,2001.0,166.83333333333334,77.48537234042553,1.13,64.35835351089588,6.86,50.11,3.11,6.82,48.29
1094,ELISE MERTENS,361,64.26592797783933,62.73062730627307,90.0,68.88888888888889,R,F,BEL,1995.0,179.0,93.97388732959101,7.01,61.3136847408527,9.16,43.3,3.65,7.76,56.32
1095,ELITSA KOSTOVA,293,50.51194539249146,52.27272727272727,29.0,34.48275862068966,R,F,BUL,1990.0,180.0,70.00519571295433,2.36,54.39890953700625,2.44,44.7,3.93,7.86,53.97
1101,ELIZABETH MANDLIK,94,59.57446808510638,63.829787234042556,47.0,55.319148936170215,U,F,USA,2001.0,173.1818181818182,61.51221804511278,12.19,58.83743622219626,20.37,71.8,2.49,3.95,32.21
1104,ELIZAVETA IANCHUK,69,47.82608695652174,47.82608695652174,0.0,0.0,U,F,UKR,1993.0,173.75,60.625,0.0,23.536100056850483,8.19,23.16,2.84,6.01,40.75
1106,ELIZAVETA KULICHKOVA,71,56.33802816901409,56.33802816901409,0.0,0.0,R,F,RUS,1996.0,165.3125,81.53185483870968,6.36,60.33413056064142,15.27,46.19,5.67,7.78,53.62
1110,ELLA TAYLOR,31,29.03225806451613,29.03225806451613,0.0,0.0,U,F,GBR,1995.0,177.71428571428572,62.83080808080808,1.94,49.61821613897108,3.81,41.78,3.32,3.95,31.42
1112,ELLEN ALLGURIN,29,44.827586206896555,44.44444444444444,2.0,50.0,R,F,SWE,1994.0,173.5,59.92307692307692,1.29,54.8162859980139,12.81,34.82,1.48,3.75,27.72
1113,ELLEN PEREZ,186,53.76344086021505,54.666666666666664,36.0,50.0,L,F,AUS,1995.0,170.85714285714286,69.70511627906977,5.98,56.61566973786717,8.97,56.21,3.76,7.03,50.33
1114,ELLIE DOUGLAS,75,54.666666666666664,51.61290322580645,13.0,69.23076923076923,U,F,USA,2000.0,173.1818181818182,60.55882352941177,1.09,24.043715846994534,7.65,14.2,2.72,5.6,35.68
1115,ELLIE HALBAUER,202,55.940594059405946,56.896551724137936,28.0,50.0,U,F,USA,1997.0,173.1818181818182,62.62642935268967,0.06,59.74480537316781,6.85,39.05,2.11,5.87,39.78
1117,ELLIOT BENCHETRIT,195,46.15384615384615,50.326797385620914,42.0,30.952380952380953,R,M,FRA,1998.0,186.96153846153845,86.51190476190476,11.81,67.65009018294255,5.73,48.15,9.32,7.17,70.05
1118,ELMAR EJUPOVIC,38,42.10526315789473,38.88888888888889,20.0,45.0,R,M,BIH,1993.0,182.5,107.90056818181819,12.94,71.99781659388647,5.84,48.87,10.18,6.2,70.39
1121,ELSA JACQUEMOT,53,50.943396226415096,53.84615384615385,40.0,50.0,R,F,FRA,2003.0,173.36363636363637,66.09330484330484,6.06,65.58325912733748,14.02,53.3,3.3,6.77,45.75
1126,ELYSIA BOLTON,60,46.666666666666664,48.78048780487805,19.0,42.10526315789473,R,F,USA,2000.0,173.1818181818182,60.96875,7.72,44.38680727225371,9.0,36.21,3.01,4.87,29.56
1128,EMA BURGIC,28,53.57142857142857,53.57142857142857,0.0,0.0,R,F,BIH,1992.0,172.13786827469158,68.0,0.84,58.22057889349613,12.59,46.67,2.09,3.99,25.2
1131,EMELINE DARTRON,107,52.336448598130836,50.0,45.0,55.55555555555556,U,F,FRA,2000.0,173.36363636363637,60.38235294117647,1.07,28.886091881686593,2.14,25.97,1.28,3.14,21.03
1133,EMIL RUUSUVUORI,172,62.2093023255814,65.51724137931035,85.0,58.82352941176471,R,M,FIN,1999.0,188.0,93.72890007189073,9.15,71.37699845281072,7.83,49.88,11.86,7.19,67.19
1134,EMILIANA ARANGO,153,58.16993464052288,55.44554455445545,52.0,63.46153846153846,R,F,COL,2001.0,162.0,62.395540730337075,0.93,55.55724958072877,6.57,43.94,2.34,5.89,37.42
1135,EMILIE FRANCATI,96,51.041666666666664,51.041666666666664,0.0,0.0,U,F,DEN,1997.0,179.5,62.12266608771168,18.97,62.286544929795426,8.39,49.9,1.95,3.51,22.39
1137,EMILIO GOMEZ,278,53.597122302158276,54.04040404040404,80.0,52.5,R,M,ECU,1991.0,193.0,97.8841891680974,7.38,69.03920440535876,7.28,50.69,9.75,6.92,67.97
1138,EMILIO NAVA,26,57.692307692307686,28.57142857142857,19.0,68.42105263157895,R,M,USA,2002.0,187.53125,92.4121212121212,12.59,70.19311502938706,7.39,51.24,7.74,6.39,71.74
1139,EMILY APPLETON,182,50.54945054945055,51.298701298701296,28.0,46.42857142857143,U,F,GBR,1999.0,177.71428571428572,60.18333333333334,5.42,23.847959682723204,9.75,23.79,1.36,3.79,20.12
1142,EMILY FANNING,62,53.2258064516129,50.0,12.0,66.66666666666666,U,F,NZL,1995.0,174.0,59.848484848484844,0.04,25.223309230114843,5.66,32.4,0.97,2.83,19.46
1143,EMILY MEYER,11,27.27272727272727,27.27272727272727,0.0,0.0,U,F,AUT,2002.0,165.0,61.0625,0.0,37.24696356275304,12.96,41.48,0.41,0.61,3.86
1146,EMILY WEBLEY SMITH,161,42.857142857142854,44.44444444444444,26.0,34.61538461538461,R,F,GBR,1984.0,177.71428571428572,61.81884057971014,3.53,44.68848050201703,11.01,37.69,2.35,5.36,36.76
1148,EMINA BEKTAS,184,51.08695652173913,51.40845070422535,42.0,50.0,U,F,USA,1993.0,173.1818181818182,61.510283687943264,10.6,63.96330026200806,4.53,39.99,3.94,6.57,47.08
1156,EMMA NAVARRO,64,43.75,47.368421052631575,26.0,38.46153846153847,R,F,USA,2001.0,173.1818181818182,66.72420634920636,4.38,55.88014981273408,7.38,50.81,3.51,6.61,46.91
1157,EMMA RADUCANU,77,74.02597402597402,76.92307692307693,25.0,68.0,R,F,GBR,2002.0,175.0,66.65526315789474,4.37,68.79910769007212,8.02,45.08,2.73,7.2,46.07
1161,EN SHUO LIANG,129,53.48837209302325,57.14285714285714,45.0,46.666666666666664,U,F,TPE,2000.0,168.0,72.3231884057971,5.36,58.531709976376526,8.47,49.91,4.46,7.74,53.73
1163,ENA KAJEVIC,88,45.45454545454545,46.478873239436616,17.0,41.17647058823529,R,F,CRO,1996.0,180.0,60.40625,3.83,28.107532605802504,6.39,30.88,0.45,1.03,9.67
1164,ENA SHIBAHARA,41,48.78048780487805,53.125,9.0,33.33333333333333,U,F,USA,1998.0,173.1818181818182,72.8892857142857,7.09,56.31284916201117,7.09,61.41,3.11,7.18,51.43
1166,ENRICO BECUZZI,13,7.6923076923076925,7.6923076923076925,0.0,0.0,R,M,ITA,1973.0,185.7058823529412,40.0,1.36,47.61904761904761,25.17,29.39,17.39,7.97,81.88
1167,ENRICO DALLA VALLE,39,30.76923076923077,35.294117647058826,5.0,0.0,U,M,ITA,1998.0,185.7058823529412,98.76851851851852,9.75,67.56433273488929,4.79,46.62,5.57,4.21,69.74
1168,ENRIQUE LOPEZ PEREZ,205,48.292682926829265,48.292682926829265,0.0,0.0,R,M,ESP,1991.0,182.65217391304347,89.26334095673718,16.81,72.12484993997599,8.87,49.63,11.36,6.43,69.98
1169,ENZO COUACAUD,162,55.55555555555556,59.4059405940594,61.0,49.18032786885246,R,M,FRA,1995.0,186.96153846153845,93.08472222222221,15.87,72.53843637553157,7.77,49.25,7.02,6.37,65.83
1171,ERGI KIRKIN,41,39.02439024390244,35.714285714285715,27.0,40.74074074074074,R,M,TUR,1999.0,190.0,109.055,6.7,64.2656162070906,8.44,46.41,7.72,6.6,69.07
1172,ERI HOZUMI,237,51.0548523206751,51.0,37.0,51.35135135135135,R,F,JPN,1994.0,163.83333333333334,65.39327443716158,3.43,54.74745092025619,4.63,42.33,3.34,7.23,47.0
1174,ERIC JOHNSON,12,58.333333333333336,58.333333333333336,0.0,0.0,R,M,USA,1993.0,187.53125,80.27142857142857,8.12,65.17094017094017,8.97,48.7,7.97,10.9,63.52
1175,ERIC QUIGLEY,49,51.02040816326531,51.02040816326531,0.0,0.0,U,M,USA,1989.0,187.53125,91.40166666666667,13.94,73.19688109161794,8.09,50.35,10.69,9.38,70.18
1177,ERIK CREPALDI,57,45.614035087719294,45.614035087719294,0.0,0.0,L,M,ITA,1990.0,185.7058823529412,96.94602977667493,3.94,62.35449783622633,4.67,50.41,14.49,9.23,70.5
1181,ERIKA SEMA,245,47.755102040816325,46.96969696969697,47.0,51.06382978723404,U,F,JPN,1989.0,163.83333333333334,61.70589610042735,1.12,53.46920352465606,4.53,27.91,2.31,5.54,39.17
1182,ERIKA VOGELSANG,39,30.76923076923077,30.76923076923077,0.0,0.0,R,F,NED,1995.0,177.25,62.4212962962963,10.87,59.22174840085288,8.32,36.73,1.55,1.6,14.44
1183,ERIN ROUTLIFFE,70,37.142857142857146,39.62264150943396,17.0,29.411764705882355,R,F,CAN,1995.0,172.75,61.855769230769226,7.4,35.48597521200261,11.06,36.02,3.01,6.64,40.48
1184,ERINA HAYASHI,100,53.0,54.65116279069767,14.0,42.857142857142854,U,F,JPN,1994.0,163.83333333333334,60.22340425531915,2.17,17.375231053604438,1.09,18.63,2.19,6.17,37.4
1185,ERNESTO ESCOBEDO,279,55.55555555555556,55.60538116591929,56.0,55.35714285714286,R,M,USA,1996.0,187.53125,94.74516129032259,15.49,73.13921151644037,6.78,53.03,17.43,7.55,72.91
1186,ERNESTS GULBIS,211,45.497630331753555,43.333333333333336,61.0,50.81967213114754,R,M,LAT,1988.0,190.0,100.7975543478261,19.29,75.4747392472971,12.16,48.73,10.53,6.47,72.7
1187,ESTEBAN BRUNA,11,27.27272727272727,27.27272727272727,0.0,0.0,U,M,CHI,1995.0,185.0,92.97916666666666,5.74,62.913907284768214,12.36,43.69,5.04,10.29,68.7
1190,ESTELLE CASCINO,207,58.93719806763285,59.77653631284916,28.0,53.57142857142857,R,F,FRA,1996.0,173.36363636363637,60.535294117647055,2.72,29.69447036707122,4.54,30.94,1.79,4.38,26.91
1194,ESTRELLA CABEZA CANDELA,94,60.63829787234043,60.63829787234043,0.0,0.0,R,F,ESP,1987.0,172.25,59.89189189189189,0.0,7.009235140895099,2.63,3.15,2.88,5.22,35.67
1196,EUDICE WONG CHONG,117,56.41025641025641,57.407407407407405,9.0,44.44444444444444,U,F,HKG,1996.0,172.13786827469158,62.64839572192514,3.68,41.11745032461145,6.65,49.68,2.88,6.73,42.26
1198,EUGENIE BOUCHARD,196,51.53061224489795,49.390243902439025,32.0,62.5,R,F,CAN,1994.0,178.0,92.42642001042209,5.88,62.0615347779241,7.09,47.25,4.62,8.41,62.1
1200,EUN SE JANG,47,31.914893617021278,33.33333333333333,2.0,0.0,U,F,KOR,2000.0,172.13786827469158,59.625,0.0,18.014329580348004,4.91,3.0,0.56,1.78,11.21
1203,EUNJI LIM,18,27.77777777777778,27.77777777777778,0.0,0.0,U,F,KOR,1998.0,172.13786827469158,59.5,0.0,18.451612903225804,3.35,15.7,0.13,1.13,6.67
1205,EVA GUERRERO ALVAREZ,189,61.37566137566137,65.3061224489796,42.0,47.61904761904761,U,F,ESP,1999.0,172.25,61.41975673122343,5.23,62.10104609302901,5.18,44.5,2.78,6.79,42.57
1206,EVA LYS,42,50.0,50.0,22.0,50.0,R,F,GER,2002.0,176.5,60.88095238095238,0.0,22.709163346613543,2.39,21.88,1.56,2.77,25.74
1214,EVAN FURNESS,91,46.15384615384615,31.818181818181817,47.0,59.57446808510638,R,M,FRA,1998.0,186.96153846153845,103.08163265306123,6.57,66.45833333333333,8.33,47.26,7.71,6.66,68.22
1215,EVAN HOYT,23,26.08695652173913,26.08695652173913,0.0,0.0,R,M,GBR,1995.0,183.42857142857144,93.09803921568627,15.19,72.24926971762414,5.74,47.68,12.75,6.37,74.12
1216,EVAN KING,191,41.8848167539267,43.604651162790695,19.0,26.31578947368421,L,M,USA,1992.0,185.0,92.45377252252251,8.87,68.38746438746439,4.28,50.9,13.46,8.08,71.6
1217,EVAN SONG,104,46.15384615384615,47.368421052631575,9.0,33.33333333333333,U,M,USA,1992.0,187.53125,94.63541666666666,8.95,67.25274725274726,3.96,48.65,9.06,7.32,69.26
1218,EVAN ZHU,27,25.925925925925924,26.923076923076923,1.0,0.0,U,M,USA,1998.0,187.53125,100.20357142857142,5.17,64.94496189669772,5.17,49.08,9.35,7.08,70.78
1219,EVGENII TIURNEV,70,40.0,38.18181818181819,15.0,46.666666666666664,R,M,RUS,1997.0,187.26666666666668,79.01785714285714,21.99,73.53058776489404,10.48,44.21,7.89,7.39,71.12
1222,EVGENIYA RODINA,226,45.13274336283185,45.13274336283185,0.0,0.0,R,F,RUS,1989.0,165.3125,77.20406388361796,2.03,55.10924530102089,8.36,38.22,7.22,8.03,58.08
1223,EVGENY DONSKOY,324,49.382716049382715,52.23880597014925,56.0,35.714285714285715,R,M,RUS,1990.0,185.0,93.84672256097562,11.55,72.4900455062571,5.26,51.82,13.61,6.49,73.24
1224,EVGENY KARLOVSKIY,225,46.666666666666664,51.461988304093566,54.0,31.48148148148148,R,M,RUS,1994.0,187.26666666666668,91.67619047619047,13.07,70.55066292461048,7.8,46.15,11.74,6.91,68.94
1226,EVITA RAMIREZ,51,41.17647058823529,16.666666666666664,39.0,48.717948717948715,U,F,FRA,2003.0,173.36363636363637,62.614285714285714,4.3,79.29006047703322,18.92,61.25,0.61,0.9,8.23
