,name,ratio,num_matches_2016-2019,ratio_2016-2019,num_matches_2020-2021,ratio_2020-2021,hand,gender,ioc,birth,ht,minutes,perc_ace,serv_won_tot_seve,bpFaced,perc_df,perc_2ndwon,perc_v_ace,perc_v_df,perc_v_1stwon
2591,MICHAELA LAKI,0.5,0.0,0.0,16.0,0.5,U,F,GRE,2005.0,177.0,59.6875,0.0,0.24267782426778242,64.0,7.86,20.87,2.16,4.83,26.79
2592,MICHAELLA KRAJICEK,0.5106382978723404,47.0,0.5106382978723404,0.0,0.0,R,F,NED,1989.0,177.0,63.73913043478261,4.2,0.2586483390607102,231.0,3.57,20.3,3.66,6.3,44.56
2593,MICHAIL PERVOLARAKIS,0.43243243243243246,19.0,0.47368421052631576,18.0,0.3888888888888889,R,M,CYP,1996.0,183.0,92.39583333333334,7.6,0.5907305577376276,293.0,8.43,49.09,11.51,8.25,69.35
2594,MICHAL DEMBEK,0.1875,16.0,0.1875,0.0,0.0,U,M,POL,1997.0,191.14285714285717,96.83333333333334,8.32,0.5574977000919963,126.0,7.82,44.03,10.6,6.1,71.26
2595,MICHAL KONECNY,0.2727272727272727,33.0,0.2727272727272727,0.0,0.0,L,M,CZE,1989.0,190.375,85.76388888888889,11.28,0.5989057239057239,230.0,10.56,47.63,8.92,7.7,72.18
2596,MICHAL PRZYSIEZNY,0.5402298850574713,87.0,0.5402298850574713,0.0,0.0,R,M,POL,1984.0,185.0,90.37712765957446,19.74,0.6576604716539123,460.0,7.73,51.55,18.56,7.86,74.45
2597,MICHEL VERNIER,0.3076923076923077,23.0,0.34782608695652173,3.0,0.0,R,M,CHI,1992.0,185.0,96.96527777777777,4.37,0.6062857142857143,175.0,5.7,50.32,6.73,7.66,68.82
2602,MICHELLE LARCHER DE BRITO,0.4827586206896552,87.0,0.4827586206896552,0.0,0.0,R,F,POR,1993.0,165.0,64.21269841269842,1.96,0.4238000745846684,715.0,10.23,29.74,4.5,7.15,49.09
2603,MICHIKA OZEKI,0.453416149068323,138.0,0.47101449275362317,23.0,0.34782608695652173,U,F,JPN,1992.0,163.83333333333334,60.32954545454545,0.0,0.3107641441840642,704.0,4.88,34.66,1.67,4.31,25.57
2605,MICK LESCURE,0.5238095238095238,21.0,0.5238095238095238,0.0,0.0,R,M,FRA,1993.0,186.96153846153845,90.08636363636364,11.01,0.6,162.0,14.18,47.71,6.05,9.25,66.67
2608,MIHAELA BUZARNESCU,0.5785123966942148,209.0,0.5980861244019139,33.0,0.45454545454545453,L,F,ROU,1988.0,173.71428571428572,85.01757703081233,4.38,0.5793294941786602,1860.0,8.86,47.18,5.02,8.13,61.36
2609,MIHAELA DJAKOVIC,0.496,68.0,0.39705882352941174,57.0,0.6140350877192983,R,F,SRB,2001.0,176.25,60.05555555555556,2.36,0.16122349500365585,504.0,5.9,17.6,0.63,1.85,13.5
2611,MIHARU IMANISHI,0.5140562248995983,205.0,0.4926829268292683,44.0,0.6136363636363636,U,F,JPN,1992.0,163.83333333333334,64.9165805785124,0.03,0.46693228892621363,1853.0,3.59,35.52,2.46,5.73,38.4
2612,MIHIKA YADAV,0.39655172413793105,52.0,0.40384615384615385,6.0,0.3333333333333333,U,F,IND,1999.0,172.13786827469158,60.05714285714286,0.0,0.17889087656529518,315.0,4.13,28.06,1.76,3.76,21.97
2617,MIKAEL TORPEGAARD,0.5576923076923077,111.0,0.6036036036036037,45.0,0.4444444444444444,R,M,DEN,1994.0,190.0,93.31659170414792,12.61,0.6306168392615938,913.0,8.05,51.11,9.31,6.89,69.23
2618,MIKAEL YMER,0.6374501992031872,191.0,0.6596858638743456,60.0,0.5666666666666667,R,M,SWE,1998.0,183.0,105.84292582417582,4.65,0.5921114661358755,1994.0,6.45,47.64,7.95,6.92,65.65
2619,MIKALAI HALIAK,0.18181818181818182,10.0,0.2,1.0,0.0,R,M,BLR,1998.0,194.5,55.47222222222222,5.71,0.5072,80.0,7.07,40.08,14.63,11.34,75.52
2620,MIKELIS LIBIETIS,0.44,25.0,0.44,0.0,0.0,U,M,LAT,1992.0,190.0,93.29545454545455,16.22,0.5901116427432217,194.0,9.27,44.14,7.35,6.93,69.23
2621,MIKHAIL ELGIN,0.4426229508196721,60.0,0.45,1.0,0.0,R,M,RUS,1981.0,183.0,87.15468409586057,13.83,0.6151093021307973,412.0,6.64,46.5,9.86,7.0,69.08
2622,MIKHAIL KUKUSHKIN,0.5120274914089347,246.0,0.540650406504065,45.0,0.35555555555555557,R,M,KAZ,1988.0,183.0,105.80222610832783,5.47,0.6132669691230234,2126.0,2.66,52.71,15.03,6.44,70.97
