,ratio,num_matches_2016-2019,ratio_2016-2019,num_matches_2020-2021,ratio_2020-2021,birth,ht,minutes,perc_ace,serv_won_tot_seve,bpFaced,perc_df,perc_2ndwon,perc_v_ace,perc_v_df,perc_v_1stwon,rank,hand_num,gender_num,ioc_num
746,0.6107142857142858,223.0,0.6188340807174888,57.0,0.5789473684210527,1991.0,188.0,118.16983207253608,12.81,0.6536870049221798,1801.0,7.6,50.56,11.5,5.54,69.85,21.0,1,1,13
747,0.1428571428571428,20.0,0.15,8.0,0.125,1998.0,188.4,81.625,7.9,0.5710194730813287,195.0,6.39,45.07,7.56,9.09,78.04,1336.0,2,1,44
748,0.2777777777777778,18.0,0.2777777777777778,0.0,0.0,1988.0,183.0,69.78461538461539,12.91,0.5848724714160071,109.0,9.02,45.75,11.16,8.55,72.46,947.0,0,1,68
749,0.5060240963855421,83.0,0.5060240963855421,0.0,0.0,1994.0,170.0,60.170731707317074,0.02,0.1676627870399496,409.0,5.87,18.8,0.94,2.52,19.15,624.0,1,0,2
750,0.568904593639576,255.0,0.5843137254901961,28.0,0.4285714285714285,1991.0,184.5,105.27036452499746,5.97,0.6089317926832861,2006.0,7.21,49.85,9.23,6.26,65.69,146.0,1,1,2
751,0.5245283018867924,228.0,0.5570175438596491,37.0,0.3243243243243243,1990.0,185.0,115.19986867648738,9.26,0.6273554554646567,1967.0,4.2,51.64,11.56,6.3,70.56,65.0,0,1,2
752,0.496031746031746,217.0,0.4838709677419355,35.0,0.5714285714285714,1993.0,184.53846153846155,102.1535433070866,7.54,0.6262914334911752,1654.0,5.19,51.67,13.35,6.91,69.98,251.0,1,1,12
753,0.4615384615384615,26.0,0.4615384615384615,0.0,0.0,1988.0,184.5,85.26785714285714,11.43,0.5876347135564379,181.0,9.8,45.47,6.34,6.53,66.95,1093.0,1,1,2
754,0.4922480620155038,242.0,0.512396694214876,16.0,0.1875,1983.0,188.0,105.74520646751216,7.82,0.6180073499387505,1772.0,8.4,50.35,11.05,6.25,70.26,101.0,1,1,26
755,0.6333333333333333,30.0,0.6333333333333333,0.0,0.0,1988.0,182.65217391304347,95.48325358851676,8.12,0.6120563928050559,182.0,5.47,53.06,16.0,6.42,68.64,422.0,2,1,26
756,0.4166666666666667,12.0,0.4166666666666667,0.0,0.0,1989.0,185.0,74.65714285714286,6.27,0.6017289854960648,69.0,5.06,48.64,9.69,8.75,63.36,625.0,1,1,15
757,0.6090909090909091,61.0,0.6885245901639344,49.0,0.5102040816326531,2001.0,173.1818181818182,69.45990975355778,9.21,0.6068840579710145,729.0,9.93,57.48,3.62,8.16,55.95,307.0,1,0,90
758,0.3968253968253968,59.0,0.4067796610169492,4.0,0.25,2000.0,173.1818181818182,60.85526315789474,0.0,0.2722794446932378,304.0,7.86,24.4,1.93,3.25,20.06,837.0,1,0,90
759,0.5900900900900901,167.0,0.592814371257485,55.0,0.5818181818181818,1998.0,173.1818181818182,62.23278248469089,2.76,0.5407159585145533,1825.0,10.12,52.48,2.67,6.01,40.77,421.0,2,0,90
760,0.625,14.0,0.6428571428571429,2.0,0.5,2001.0,179.5,62.66666666666666,0.97,0.2379958246346555,30.0,0.97,23.01,1.62,0.0,5.18,,2,0,21
761,0.2439024390243902,41.0,0.2439024390243902,0.0,0.0,1989.0,183.3333333333333,97.67580645161291,10.49,0.6021400778210116,310.0,8.5,46.56,10.36,6.4,73.0,1220.0,2,1,54
762,0.4038461538461538,52.0,0.4038461538461538,0.0,0.0,1988.0,185.0,95.74807987711212,6.61,0.6174817313097246,339.0,5.84,50.57,8.63,6.66,70.46,325.0,1,1,15
763,0.5436241610738255,149.0,0.5436241610738255,0.0,0.0,1998.0,174.8,65.95116194625999,2.24,0.5384842235480091,1491.0,8.2,55.16,3.57,7.6,42.89,422.0,1,0,16
764,0.5319148936170213,47.0,0.5319148936170213,0.0,0.0,1994.0,174.8,59.72727272727273,0.05,0.1215559157212317,175.0,4.44,12.07,2.89,7.68,34.12,686.0,1,0,16
765,0.4,15.0,0.4,0.0,0.0,1997.0,183.66666666666663,83.66666666666667,10.07,0.5718717683557394,105.0,7.72,50.13,12.39,7.3,68.08,1776.0,2,1,16
766,0.5418181818181819,208.0,0.5288461538461539,67.0,0.582089552238806,1997.0,173.36363636363637,66.18522957281347,3.42,0.5266483436325137,2269.0,4.79,52.5,2.49,6.26,42.48,335.0,1,0,29
767,0.5555555555555556,1.0,0.0,17.0,0.5882352941176471,2002.0,186.96153846153845,101.6375,9.83,0.6400560224089635,115.0,7.19,51.85,15.78,5.18,73.49,555.0,1,1,29
768,0.4285714285714285,60.0,0.4833333333333333,10.0,0.1,1989.0,186.5,89.0875,11.41,0.6024573919936583,492.0,5.77,48.47,13.01,7.11,70.16,525.0,1,1,28
769,0.5577689243027888,193.0,0.5751295336787565,58.0,0.5,1996.0,177.71428571428572,74.71090733590734,3.67,0.5287960296458968,2157.0,7.53,51.31,4.07,6.86,49.15,251.0,1,0,30
770,0.5454545454545454,11.0,0.5454545454545454,0.0,0.0,1994.0,187.53125,78.06666666666666,10.92,0.6135734072022161,79.0,14.64,47.34,10.68,9.11,68.49,594.0,1,1,90
771,0.388235294117647,63.0,0.3968253968253968,22.0,0.3636363636363636,1996.0,187.07692307692307,88.53438228438227,11.95,0.6058621254298346,551.0,8.91,47.49,8.65,6.48,71.65,471.0,1,1,3
772,0.5263157894736842,167.0,0.5329341317365269,23.0,0.4782608695652174,1994.0,163.83333333333334,60.784444444444446,2.25,0.5262219091403925,1811.0,11.38,46.03,2.54,6.33,42.27,395.0,1,0,43
773,0.46875,31.0,0.4838709677419355,1.0,0.0,1995.0,173.1818181818182,60.0,0.0,0.1597315436241611,204.0,2.34,6.53,3.37,5.44,42.91,621.0,2,0,90
774,0.5189393939393939,210.0,0.5285714285714286,54.0,0.4814814814814814,1992.0,170.0,96.71302948445312,9.06,0.5846211537034467,2233.0,8.57,47.27,7.16,8.71,62.24,89.0,1,0,30
775,0.5294117647058824,282.0,0.524822695035461,75.0,0.5466666666666666,1992.0,182.8333333333333,94.75,12.11,0.6166261582864955,2421.0,8.05,49.17,9.82,6.71,68.26,135.0,1,1,80
776,0.3835616438356164,45.0,0.3333333333333333,28.0,0.4642857142857143,1994.0,184.5,91.91944444444444,0.56,0.546203649205415,653.0,2.69,47.32,6.98,5.51,67.57,364.0,2,1,2
777,0.4246575342465753,47.0,0.3617021276595745,26.0,0.5384615384615384,2002.0,163.83333333333334,60.345238095238095,0.03,0.2200526546731022,335.0,10.06,25.33,1.38,3.72,26.0,851.0,2,0,43
778,0.4558823529411764,235.0,0.4765957446808511,37.0,0.3243243243243243,1990.0,176.28571428571428,94.33838273757628,6.12,0.595323834872919,1914.0,7.01,50.05,12.97,6.1,68.51,228.0,1,1,43
779,0.4290909090909091,236.0,0.4406779661016949,39.0,0.358974358974359,1990.0,163.83333333333334,66.15858793047609,1.12,0.4629917021707758,2145.0,7.85,37.78,3.67,6.33,41.9,274.0,1,0,43
780,0.4137931034482758,29.0,0.4137931034482758,0.0,0.0,1991.0,176.28571428571428,92.40441176470588,3.75,0.5665859564164649,232.0,7.99,47.85,11.08,6.99,69.48,478.0,1,1,43
781,0.4310344827586206,106.0,0.4245283018867924,10.0,0.5,1991.0,172.13786827469158,61.31212121212121,4.86,0.4481811675833089,854.0,12.43,40.85,2.01,4.29,26.64,841.0,1,0,36
782,0.6428571428571429,9.0,0.4444444444444444,61.0,0.6721311475409836,2003.0,190.0,100.46666666666668,5.11,0.6107988759534324,481.0,5.98,51.14,6.76,6.69,65.26,398.0,1,1,21
